userId,tmdbId,rating
1,807,5.0
1,629,5.0
1,197,4.0
1,11,5.0
1,680,3.0
1,13,4.0
1,954,3.0
1,15,5.0
1,500,5.0
1,769,5.0
1,348,4.0
1,600,5.0
1,694,3.0
1,607,3.0
1,115,5.0
1,1366,5.0
1,857,4.0
1,2109,4.0
1,603,5.0
1,14,5.0
1,550,5.0
1,492,4.0
1,497,5.0
1,98,5.0
2,278,3.0
2,98,4.0
2,24,4.0
2,1422,4.0
2,155,4.5
2,16869,4.5
2,11324,4.0
2,27205,4.0
2,49026,3.5
2,157336,3.0
2,244786,4.0
2,154400,2.0
2,76341,5.0
4,807,2.0
4,11,5.0
4,680,1.0
4,954,3.0
4,769,4.0
4,33,4.0
4,607,3.0
4,115,4.0
4,603,1.0
4,745,4.0
4,14,5.0
4,550,2.0
4,492,4.0
5,629,4.0
5,197,4.0
5,680,5.0
5,278,3.0
5,280,3.0
6,807,4.0
6,629,1.0
6,197,5.0
6,1572,3.0
6,101,3.0
6,680,2.0
6,278,5.0
6,13,5.0
6,280,3.0
7,629,4.5
7,1572,4.0
7,11,5.0
7,13,5.0
7,280,2.5
7,954,4.0
7,207,1.5
7,1366,4.5
7,745,4.5
7,14,4.0
7,98,1.5
7,955,1.0
7,808,4.0
7,585,4.0
7,120,4.5
7,557,3.5
7,121,4.5
7,640,4.0
7,604,4.0
7,22,4.5
7,809,3.5
7,2502,3.5
7,272,2.0
7,1422,1.0
7,36557,4.5
8,807,4.0
8,629,5.0
8,197,3.0
8,680,4.0
8,278,5.0
8,13,3.0
9,15,5.0
9,120,5.0
9,121,5.0
10,680,1.0
10,13,3.5
10,603,0.5
10,745,0.5
10,14,1.0
10,550,0.5
10,98,4.0
10,808,4.5
10,120,4.0
10,121,4.0
10,12,3.5
10,652,5.0
10,2502,3.5
10,272,5.0
10,36557,5.0
10,155,4.5
10,10764,3.5
10,767,3.0
10,19995,2.5
10,10528,3.0
10,49026,5.0
10,62177,4.0
10,37724,5.0
10,157336,0.5
10,257211,5.0
11,197,5.0
11,1572,3.0
11,278,4.0
11,13,5.0
11,280,4.0
11,954,4.0
11,857,5.0
13,807,5.0
13,603,5.0
13,9532,2.0
13,98,5.0
13,9679,3.0
14,807,5.0
14,197,5.0
14,680,3.0
14,278,3.0
14,13,4.0
15,807,3.5
15,11,5.0
15,101,3.0
15,680,4.0
15,278,5.0
15,13,5.0
15,280,5.0
15,238,4.0
15,679,5.0
15,348,5.0
15,857,3.5
15,603,4.0
15,745,3.0
15,14,4.0
15,550,2.5
15,497,5.0
15,98,5.0
15,808,3.0
15,585,3.5
15,120,3.5
15,121,3.5
15,640,5.0
15,12,3.0
15,24,3.0
15,1954,3.5
15,809,2.5
15,9693,3.0
15,2062,3.0
15,6479,3.5
15,155,2.0
15,1726,2.0
15,13223,4.0
15,19995,3.0
15,27205,3.5
15,24428,2.0
15,49026,2.0
15,70981,3.0
15,72190,3.5
15,157336,4.0
15,210577,4.5
15,198184,2.5
15,76341,2.0
15,140607,5.0
15,293660,2.0
15,284052,2.0
15,286217,4.0
16,807,3.5
16,629,4.0
16,103,4.5
16,11,3.0
16,101,4.0
16,680,3.0
16,278,4.0
16,13,3.5
16,78,4.5
16,238,2.5
16,15,3.5
16,500,4.0
16,769,3.5
16,348,4.0
16,600,4.5
16,603,3.5
16,745,3.5
16,14,3.5
16,550,3.5
16,120,3.5
16,121,3.5
16,38,3.5
16,155,4.5
16,27205,3.0
16,49026,4.5
17,807,4.0
17,629,4.5
17,197,4.5
17,103,4.0
17,11,5.0
17,101,3.5
17,680,5.0
17,278,5.0
17,13,5.0
17,78,3.5
17,280,4.5
17,238,5.0
17,562,4.0
17,500,4.0
17,769,4.5
17,240,4.5
17,600,4.5
17,694,4.0
17,115,5.0
17,857,4.5
17,117,4.0
17,603,5.0
17,745,4.0
17,14,4.0
17,550,4.5
17,497,4.5
17,120,4.5
17,121,5.0
17,598,4.5
17,272,4.0
17,1422,4.0
17,155,4.5
17,16869,4.0
17,27205,4.5
17,37799,4.0
18,807,4.5
18,629,5.0
18,197,4.5
18,103,4.0
18,1572,4.0
18,11,4.0
18,101,4.5
18,680,4.0
18,278,5.0
18,13,4.5
18,78,4.0
18,280,4.5
18,954,3.0
18,627,4.5
18,238,4.0
18,15,5.0
18,562,4.0
18,500,4.0
18,769,4.5
18,348,4.0
18,240,5.0
18,600,4.5
18,207,4.0
18,607,3.5
18,115,4.5
18,1366,4.0
18,857,4.0
18,117,3.5
18,603,4.5
18,745,4.5
18,550,4.5
18,492,4.0
18,497,4.0
18,98,4.5
18,808,4.0
18,585,4.0
18,120,4.5
18,557,4.0
18,2501,4.0
18,121,3.5
18,640,4.0
18,423,4.5
18,604,3.5
18,12,4.0
18,22,4.5
18,24,3.5
18,587,4.5
18,1954,4.5
18,38,4.0
18,809,3.5
18,2502,4.0
18,272,4.5
18,58,4.0
18,1422,4.5
18,2062,3.5
18,285,3.5
18,1571,3.0
18,155,4.0
18,1726,4.0
18,13223,3.5
18,4922,3.5
18,16869,3.5
18,19995,4.0
18,10528,4.5
18,20504,3.5
18,11324,4.5
18,10138,4.0
18,27205,4.5
18,10195,3.5
18,24428,4.0
18,49026,4.0
18,72105,2.5
18,68721,3.5
18,146233,3.0
18,76338,3.5
18,157336,4.5
18,194662,3.5
18,244786,4.5
18,154400,3.5
18,205596,4.5
18,131631,3.5
18,140607,4.0
18,99861,3.5
18,102899,4.0
18,293660,3.5
18,283995,4.0
18,271110,3.0
18,286217,4.5
18,329865,3.0
18,263115,4.0
19,807,3.0
19,1572,3.0
19,11,4.0
19,101,4.0
19,13,2.0
19,78,4.0
19,280,5.0
19,954,3.0
19,500,3.0
19,679,3.0
19,348,4.0
19,694,2.0
19,607,2.0
19,115,3.0
19,9535,2.0
19,603,4.0
19,745,4.0
19,14,4.0
19,550,5.0
19,492,4.0
19,9532,2.0
19,98,3.0
19,955,2.0
19,9679,2.0
20,98,4.5
20,955,3.0
20,808,5.0
20,585,4.0
20,120,5.0
20,557,3.0
20,2501,3.0
20,121,5.0
20,640,4.5
20,604,4.0
21,1572,3.5
21,11,4.5
21,101,3.0
21,680,3.5
21,13,4.5
21,78,3.5
21,280,3.5
21,954,4.5
21,238,2.5
21,562,3.5
21,679,2.0
21,348,1.5
21,240,2.5
21,607,4.5
21,2109,3.5
21,603,4.0
21,745,0.5
21,14,2.0
21,550,2.0
21,98,2.5
21,955,4.0
21,808,4.0
21,5175,3.5
21,585,3.5
21,120,1.5
21,557,3.0
21,2501,4.0
21,121,2.0
21,640,3.5
21,604,3.5
21,22,4.0
21,24,1.5
21,809,4.0
21,2502,4.0
21,272,3.5
21,591,3.5
21,36557,4.0
21,2062,3.5
21,285,4.0
21,1571,3.0
21,155,3.5
21,1726,4.0
21,10764,3.5
21,767,4.0
21,19995,4.0
21,10528,2.5
21,20504,3.5
21,10138,4.0
21,27205,3.5
21,37799,3.0
21,12444,3.0
21,12445,4.0
21,24428,4.0
21,49026,3.5
21,76493,4.0
21,62177,3.5
21,72105,3.5
21,37724,4.0
21,68721,3.5
21,76203,2.0
21,76338,3.5
21,157336,3.0
21,198663,3.5
21,177572,4.0
21,205596,2.5
21,131631,3.5
21,227159,3.5
21,270946,3.0
21,228967,0.5
21,181533,3.5
21,286532,2.0
21,76341,3.5
21,140607,4.0
21,99861,3.5
21,102899,3.5
21,293660,3.5
21,284052,4.0
21,256961,2.5
21,254470,3.0
21,271718,2.5
21,214756,0.5
21,307081,0.5
21,329865,4.0
21,263115,3.0
22,278,5.0
22,13,5.0
22,78,5.0
22,238,3.0
22,550,3.5
22,98,4.0
22,808,3.0
22,585,3.5
22,120,1.0
22,2501,3.5
22,12,3.5
22,22,2.5
22,153,4.0
22,24,4.0
22,587,0.5
22,38,3.5
22,272,2.5
22,1422,2.5
22,36557,5.0
22,2062,1.5
22,155,3.0
22,1726,0.5
22,16869,4.0
22,19995,3.5
23,629,4.0
23,101,4.0
23,680,3.5
23,78,5.0
23,627,4.0
23,238,3.5
23,15,4.0
23,562,3.0
23,500,4.0
23,679,3.0
23,769,3.0
23,348,4.0
23,240,3.5
23,600,5.0
23,694,5.0
23,33,4.0
23,117,3.0
23,24,3.0
24,629,4.0
24,1572,3.5
24,680,4.0
24,278,4.5
24,13,4.5
24,207,4.0
24,607,4.0
24,857,4.0
24,2109,3.5
24,603,4.0
24,497,4.5
24,98,4.0
24,5175,3.5
24,2501,4.0
24,561,3.0
24,36557,3.5
24,155,4.0
24,10764,3.0
24,4922,4.0
24,16869,3.0
24,27205,4.0
24,49026,4.0
24,37724,3.5
24,140607,3.5
24,286217,4.0
24,271718,2.5
25,11,5.0
25,857,5.0
25,603,5.0
25,98,5.0
25,120,5.0
25,121,5.0
25,155,5.0
25,1726,4.0
25,16869,5.0
25,11324,4.5
25,27205,5.0
25,49026,5.0
25,205596,5.0
25,299536,5.0
25,335984,4.0
26,807,4.0
26,1572,4.0
26,680,4.0
26,13,3.0
27,11,4.0
27,13,5.0
27,954,4.0
27,679,1.0
27,600,1.0
27,607,3.0
28,807,3.0
28,629,3.5
28,197,3.5
28,11,4.0
28,101,4.5
28,680,4.5
28,278,3.5
28,13,4.0
28,1607,2.5
28,78,4.0
28,280,4.5
28,627,3.5
28,238,4.5
28,562,2.0
28,500,3.0
28,679,4.0
28,769,4.0
28,348,3.5
28,240,4.0
28,600,4.0
28,33,4.5
28,607,3.0
28,115,4.0
28,857,3.5
28,117,3.5
28,9535,1.5
28,603,4.0
28,745,3.0
28,14,4.0
28,550,3.5
28,492,2.5
28,497,2.5
28,98,4.0
28,120,3.0
28,557,3.5
28,2501,3.5
28,121,3.5
28,640,3.5
28,423,3.0
28,604,3.5
28,22,2.0
28,153,2.5
28,24,4.0
28,38,2.5
28,652,4.0
28,2502,3.5
28,272,4.5
28,254,2.5
28,1422,2.5
28,9693,3.0
28,36557,3.5
28,1372,4.5
28,1571,2.5
28,6479,4.0
28,155,3.5
28,1726,4.5
28,10764,3.0
28,13223,4.0
28,4922,4.5
28,19995,5.0
29,629,3.5
29,1572,4.0
29,680,3.5
29,278,4.5
29,13,4.5
29,238,4.5
29,769,4.0
29,600,4.0
29,857,5.0
29,98,5.0
29,423,5.0
29,1422,4.5
29,9693,4.5
29,6479,4.0
30,197,5.0
30,11,5.0
30,278,5.0
30,280,3.5
30,562,4.0
30,679,3.0
30,603,5.0
30,120,5.0
30,121,5.0
30,272,5.0
30,155,5.0
30,1726,5.0
30,27205,5.0
30,49026,5.0
30,157336,5.0
30,177572,5.0
30,131631,4.0
30,293660,5.0
31,1572,4.0
31,954,5.0
31,562,5.0
31,679,3.0
31,348,4.0
31,207,3.0
32,629,5.0
32,11,5.0
32,680,5.0
32,278,5.0
32,954,3.0
32,562,5.0
33,629,5.0
33,197,5.0
33,101,4.0
33,680,5.0
33,278,4.0
33,13,5.0
33,1607,5.0
33,280,4.0
33,627,4.0
33,769,3.0
33,607,3.0
33,4995,5.0
33,857,5.0
33,9535,4.0
33,603,5.0
33,745,4.0
34,197,0.5
34,278,4.0
34,13,4.0
34,280,3.5
34,562,2.5
34,607,2.5
34,2109,5.0
34,603,3.0
34,745,3.0
34,550,4.0
34,9679,4.5
34,808,3.5
34,557,5.0
34,121,1.0
34,22,5.0
34,153,5.0
34,24,5.0
35,629,5.0
36,278,4.0
36,600,2.5
36,117,2.5
37,1572,5.0
37,680,5.0
37,278,4.0
37,13,4.0
38,629,5.0
38,197,5.0
38,680,3.0
38,278,5.0
38,13,3.0
38,954,4.0
39,807,3.0
39,629,5.0
39,11,5.0
39,680,5.0
39,280,4.0
39,238,4.0
39,562,4.0
39,500,5.0
39,679,5.0
39,769,4.0
39,348,5.0
39,240,5.0
39,694,5.0
39,1366,2.0
